"","subject","item","region","measure","proficiency1","proficiency2","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"11362",14,39,"spillover2","fp",72,"High","spillover2 fp",7,0,202,202,"Ambiguous","Inconsistent",202
"11364",14,47,"spillover2","fp",72,"High","spillover2 fp",7,0,294,294,"Ambiguous","Inconsistent",294
"11366",14,25,"spillover2","fp",72,"High","spillover2 fp",5,0,454,454,"Ambiguous","Consistent",454
"11368",14,48,"spillover2","fp",72,"High","spillover2 fp",8,0,316,316,"Unambiguous","Inconsistent",316
"11370",14,42,"spillover2","fp",72,"High","spillover2 fp",6,0,388,388,"Unambiguous","Consistent",388
"11372",14,45,"spillover2","fp",72,"High","spillover2 fp",5,0,408,408,"Ambiguous","Consistent",408
"11374",14,43,"spillover2","fp",72,"High","spillover2 fp",7,0,726,726,"Ambiguous","Inconsistent",726
"11376",14,32,"spillover2","fp",72,"High","spillover2 fp",8,0,942,942,"Unambiguous","Inconsistent",942
"11378",14,40,"spillover2","fp",72,"High","spillover2 fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"11380",14,30,"spillover2","fp",72,"High","spillover2 fp",6,0,210,210,"Unambiguous","Consistent",210
"11382",14,31,"spillover2","fp",72,"High","spillover2 fp",7,0,214,214,"Ambiguous","Inconsistent",214
"12184",15,34,"spillover2","fp",73,"High","spillover2 fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"12186",15,30,"spillover2","fp",73,"High","spillover2 fp",7,0,212,212,"Ambiguous","Inconsistent",212
"12188",15,35,"spillover2","fp",73,"High","spillover2 fp",8,0,220,220,"Unambiguous","Inconsistent",220
"12190",15,38,"spillover2","fp",73,"High","spillover2 fp",7,0,498,498,"Ambiguous","Inconsistent",498
"12192",15,46,"spillover2","fp",73,"High","spillover2 fp",7,0,786,786,"Ambiguous","Inconsistent",786
"12193",15,36,"spillover2","fp",73,"High","spillover2 fp",5,0,500,500,"Ambiguous","Consistent",500
"12195",15,25,"spillover2","fp",73,"High","spillover2 fp",6,0,442,442,"Unambiguous","Consistent",442
"12197",15,28,"spillover2","fp",73,"High","spillover2 fp",5,0,248,248,"Ambiguous","Consistent",248
"12199",15,33,"spillover2","fp",73,"High","spillover2 fp",6,0,262,262,"Unambiguous","Consistent",262
"12201",15,42,"spillover2","fp",73,"High","spillover2 fp",7,0,212,212,"Ambiguous","Inconsistent",212
